,model,scenario,year,rcp,mod_scen_combined,Primary_Energy,Primary_Energy_Wind,Primary_Energy_Solar,Primary_Energy_Biomass,Primary_Energy_Biomass_w_CCS,Primary_Energy_Hydro,Primary_Energy_Nuclear,Primary_Energy_Geothermal,Primary_Energy_Fossil,Primary_Energy_Fossil_w_CCS,Primary_Energy_Fossil_wo_CCS,Primary_Energy_Coal,Primary_Energy_Coal_w_CCS,Primary_Energy_Coal_wo_CCS,Primary_Energy_Oil,Primary_Energy_Oil_w_CCS,Primary_Energy_Oil_wo_CCS,Primary_Energy_Gas,Primary_Energy_Gas_w_CCS,Primary_Energy_Gas_wo_CCS,Primary_Energy_Non_Biomass_Renewables,Emissions_CO2,Emissions_CH4,Emissions_N2O,Emissions_Kyoto_Gases,Emissions_CO2_Carbon_Capture_and_Storage,Emissions_CO2_Carbon_Capture_and_Storage_Biomass,Emissions_CO2_Fossil_Fuels_and_Industry,Emissions_CO2_Land_Use,Final_Energy,Final_Energy_Electricity,Final_Energy_Hydrogen,Final_Energy_Industry,Final_Energy_Residential_and_Commercial,Final_Energy_Transportation,Final_Energy_Gases,Final_Energy_Heat,Final_Energy_Liquids,Final_Energy_Solids,Final_Energy_Solar,Final_Energy_Electrification,Price_Carbon,GDP_PPP,cumulative_emissions,squared_cumulative_emissions
0,AIM/CGE,SSP1,2010,RCP19,AIM/CGE-SSP1-19,470.1031,0.7554,0.1673,44.9428,0.0,12.2082,11.0829,0.2159,400.6963,0.0,400.6963,129.0327,0.0,129.0327,168.7596,0.0,168.7596,102.904,0.0,102.904,24.4297,35.7826485,0.3681046,9.5155122,48.568951,0.0,0.0,31.157087200000003,4.6255613,342.2994,64.5446,,127.677,129.1768,85.4457,52.8123,13.1907,145.5169,65.2019,,0.18856182628424123,0.0007840000000000001,64.8277747,688.6763652000001,474275.1359850839
1,AIM/CGE,SSP1,2020,RCP19,AIM/CGE-SSP1-19,512.6219,4.365,0.8885,42.4671,0.0,15.8805,13.0699,0.2556,435.6573,0.0,435.6573,138.4106,0.0,138.4106,181.9604,0.0,181.9604,115.2863,0.0,115.2863,34.459500000000006,37.2338898,0.3744576,10.0889093,50.5407443,0.0,0.0,33.6200831,3.6138067,365.9557,83.8967,,131.9863,141.0551,92.9142,53.5479,17.4385,155.465,54.1039,,0.22925370475169535,0.014478999999999999,98.5116278,688.6763652000001,474275.1359850839
2,AIM/CGE,SSP1,2030,RCP19,AIM/CGE-SSP1-19,420.5853,38.3309,14.6959,44.7364,0.1145,22.9588,20.2589,0.3084,279.2546,7.2216,272.033,49.7776,3.1868,46.5908,146.9887,1.4936,145.4951,82.4883,2.5411,79.9472,96.55290000000001,19.057493299999997,0.1291583,5.9768067,24.6445867,0.4713616,0.0056526,19.133109400000002,-0.0756161,324.5454,110.8359,,114.2261,139.1024,71.2169,30.8918,22.1386,125.7855,34.5096,,0.34151123386743426,0.18588310000000002,146.856,688.6763652000001,474275.1359850839
3,AIM/CGE,SSP1,2040,RCP19,AIM/CGE-SSP1-19,423.937,80.4585,37.3203,60.5955,7.7411,23.7734,23.2731,0.3742,198.0964,42.6476,155.4489,29.7148,11.0998,18.615,112.1937,14.9318,97.2618,56.188,16.6159,39.5721,165.1995,8.22932,0.0968493,5.6738257999999995,12.4729791,3.0978431,0.507127,10.9355735,-2.7062535,337.4327,159.2085,,118.4843,148.4219,70.5264,18.1939,28.4919,101.3695,29.8938,,0.4718229738848665,0.34802089999999997,209.71,688.6763652000001,474275.1359850839
4,AIM/CGE,SSP1,2050,RCP19,AIM/CGE-SSP1-19,442.1869,107.0239,61.8599,67.074,23.0535,21.6375,21.9951,0.4398,162.1063,80.4257,81.6806,30.2871,22.0908,8.1963,83.693,26.3853,57.3077,48.1262,31.9496,16.1765,212.9562,1.7946177,0.0721649,5.4851506,5.3582412,6.3158795,1.3911523,5.5736377,-3.77902,348.522,202.6334,,121.4744,155.7157,71.3319,10.0265,32.2829,77.3351,26.0545,,0.5814077733973751,0.564406,275.277,688.6763652000001,474275.1359850839
5,AIM/CGE,SSP1,2060,RCP19,AIM/CGE-SSP1-19,429.1488,124.7278,76.9727,79.3227,37.7045,24.0898,24.6277,0.5205,98.8318,54.0991,44.7327,14.7742,10.4711,4.3032,50.1874,18.6628,31.5246,33.8702,24.9652,8.905,250.9385,-2.1811692,0.061704,5.1636196,1.0231537,5.7258098,2.3474837,1.9443453,-4.1255145,344.6799,233.5938,,117.5484,157.1425,69.989,4.5109,33.106,51.0703,22.3017,,0.6777122773912839,1.1070734,338.889,688.6763652000001,474275.1359850839
6,AIM/CGE,SSP1,2070,RCP19,AIM/CGE-SSP1-19,424.6967,128.7446,84.562,85.4406,45.9766,25.3545,25.6041,0.6022,74.327,41.6435,32.6835,9.9511,6.9019,3.0492,36.2872,13.3202,22.967,28.0887,21.4215,6.6672,264.86740000000003,-3.7570794000000003,0.0572134,5.0188421,-0.7066774,5.6234437,2.8809973,0.5148986999999999,-4.2719781,341.7877,247.1724,,113.8104,157.2207,70.7566,2.7537,32.6285,40.457,18.7089,,0.7231752342170301,1.5009719,402.241,688.6763652000001,474275.1359850839
7,AIM/CGE,SSP1,2080,RCP19,AIM/CGE-SSP1-19,413.0921,127.737,89.7462,86.0107,49.4926,25.7569,25.2406,0.6716,57.8612,32.577,25.2842,6.9526,4.6749,2.2777,27.3622,9.5768,17.7854,23.5464,18.3253,5.2211,269.1523,-4.3382188,0.0530908,4.8318953,-1.445211,5.3051309,3.0262328000000003,-0.2026147,-4.135604099999999,333.5808,251.1039,,107.7699,154.9349,70.876,1.7458,31.3148,34.1073,15.2619,,0.7527528562794981,1.8904973,459.127,688.6763652000001,474275.1359850839
8,AIM/CGE,SSP1,2090,RCP19,AIM/CGE-SSP1-19,404.5736,123.2804,90.5736,86.6641,52.5402,25.622,22.8518,0.7271,54.78,31.5048,23.2752,6.3077,4.2216,2.0861,24.658,8.4532,16.2048,23.8143,18.83,4.9843,263.05490000000003,-4.3904928,0.0510139,4.683717400000001,-1.6007634,5.4051347,3.1648677,-0.4916313,-3.8988614999999998,324.1516,248.5773,,102.4332,151.183,70.5354,1.4236,29.615,32.3823,12.1132,,0.7668550764518824,1.9350627,509.597,688.6763652000001,474275.1359850839
9,AIM/CGE,SSP1,2100,RCP19,AIM/CGE-SSP1-19,390.2476,119.8764,90.0283,86.7606,54.7096,25.2723,20.5024,0.7703,46.9562,27.159,19.7973,4.9785,3.2369,1.7416,20.3727,6.656,13.7167,21.605,17.266,4.339,256.4497,-4.4748741,0.046979999999999994,4.4048932999999995,-1.8791884,5.2535049,3.2460161,-0.8610458,-3.6138283,311.6341,243.8105,,96.6916,145.7644,69.1781,1.0062,27.7402,29.686,9.3617,,0.7823614296381558,2.1806815999999998,551.161,688.6763652000001,474275.1359850839
10,AIM/CGE,SSP1,2010,RCP26,AIM/CGE-SSP1-26,470.1648,0.7553,0.1671,44.9429,0.0,12.2081,11.0828,0.2159,400.7582,0.0,400.7582,129.0773,0.0,129.0773,168.7875,0.0,168.7875,102.8934,0.0,102.8934,24.4292,35.7818143,0.36827679999999996,9.5101345,48.570823,0.0,0.0,31.1567812,4.6250331,342.3496,64.5452,,127.6847,129.1818,85.4832,52.8108,13.1907,145.5461,65.2232,,0.18853592935408714,0.0005367,64.82874100000001,1352.5941930000004,1829511.0509373222
11,AIM/CGE,SSP1,2020,RCP26,AIM/CGE-SSP1-26,512.7591,4.3619,0.8887,42.4646,0.0,15.8805,13.0702,0.2557,435.7994,0.0,435.7994,138.5649,0.0,138.5649,181.9613,0.0,181.9613,115.2733,0.0,115.2733,34.457,37.181338499999995,0.3782473,9.9392486,50.538342799999995,0.0,0.0,33.5687805,3.612558,365.9952,83.9316,,132.0002,141.0772,92.9179,53.5556,17.4384,155.4675,54.101,,0.2293243190074624,0.014226,98.5132107,1352.5941930000004,1829511.0509373222
12,AIM/CGE,SSP1,2030,RCP26,AIM/CGE-SSP1-26,508.5986,18.1857,6.4068,40.9882,0.0,20.2274,19.8088,0.2985,402.6476,0.0,402.6476,106.8871,0.0,106.8871,184.7484,0.0,184.7484,111.0121,0.0,111.0121,64.9272,29.790508600000003,0.2270326,6.4287671,37.9632937,0.0,0.0,29.202076400000003,0.5884322,371.5204,106.0729,,131.1587,149.6136,90.748,47.2016,21.4928,156.8522,38.8454,,0.2855102976848647,0.0324205,149.269,1352.5941930000004,1829511.0509373222
13,AIM/CGE,SSP1,2040,RCP26,AIM/CGE-SSP1-26,482.4276,50.5871,23.2448,50.6973,0.2581,23.6824,24.1392,0.3527,309.6887,18.6106,291.0781,61.6089,11.5306,50.0783,161.0702,1.7312,159.3391,87.0096,5.3488,81.6608,122.0062,19.431352200000003,0.171519,5.998967899999999,25.639533200000002,1.3362654,0.018596599999999998,20.516514299999997,-1.0851621,371.2381,137.8824,,129.3391,155.0408,86.8582,35.2429,26.1718,139.9063,31.3244,,0.37141230924304375,0.0947823,212.565,1352.5941930000004,1829511.0509373222
14,AIM/CGE,SSP1,2050,RCP26,AIM/CGE-SSP1-26,501.2413,71.9328,39.7676,62.8509,5.4789,22.3489,24.1541,0.3738,279.7792,58.1881,221.591,57.9941,30.4972,27.4968,146.474,6.7644,139.7096,75.3111,20.9265,54.3846,158.5772,13.6789516,0.1508176,6.829202,19.6101712,4.5538003,0.4156092,15.4265607,-1.747609,384.7633,168.7906,,132.9105,162.0907,89.7621,29.8092,29.5922,128.8589,26.9988,,0.4386868498112996,0.10397410000000001,278.716,1352.5941930000004,1829511.0509373222
15,AIM/CGE,SSP1,2060,RCP26,AIM/CGE-SSP1-26,506.1213,82.2738,47.5119,73.5155,17.9235,23.9966,24.5697,0.4259,253.7905,93.2979,160.4926,54.0481,39.6563,14.3919,126.7169,14.6782,112.0387,73.0255,38.9634,34.062,178.77790000000002,8.6772115,0.14655959999999998,6.7754616,14.4839538,7.6396964,1.3638244,10.606397000000001,-1.9291854000000002,380.3544,191.6155,,129.1282,163.2707,87.9554,23.8778,30.6476,110.8527,22.7878,,0.5037814732786055,0.1416243,342.863,1352.5941930000004,1829511.0509373222
