,Variable,Year,Average,Median,StDev,percentile_90,percentile_75,Avg-SD,R2_Amb,R2_Scen,R2_Mod,R2_Amb_Scen,R2_Amb_Mod,R2_Scen_Mod,R2_Amb_Scen_Mod,R2_Residual,R2_Amb_Shapley,R2_Scen_Shapley,R2_Mod_Shapley,R2_Amb_Scen_Mod_Shapley,Test_R2_Shapley_vs_R2,Plot_Avg_SD,Plot_Avg_SD_Surrogate,Plot_Amb,Plot_Scen,Plot_Mod,Plot_Resid,Avg_vs_Mid_point,R2_Amb_Scen_Mod_Shapleys_sum,R2_Amb_Shapley_norm,R2_Scen_Shapley_norm,R2_Mod_Shapley_norm,R2_Amb_rcp,R2_Scen_rcp,R2_Mod_rcp,R2_Amb_rcp_Scen,R2_Amb_rcp_Mod,R2_Scen_rcp_Mod,R2_Amb_rcp_Scen_Mod,R2_Residual_rcp,R2_Amb_Shapley_rcp,R2_Scen_Shapley_rcp,R2_Mod_Shapley_rcp,R2_Amb_rcp_Scen_Mod_Shapley,Test_R2_Shapley_vs_R2_rcp,Plot_Avg_SD_rcp,Plot_Avg_SD_Surrogate_rcp,Plot_Amb_rcp,Plot_Scen_rcp,Plot_Mod_rcp,Plot_Resid_rcp,Avg_vs_Mid_point_rcp,R2_Amb_rcp_Scen_Mod_Shapleys_sum,R2_Amb_Shapley_rcp_norm,R2_Scen_Shapley_rcp_norm,R2_Mod_Shapley_rcp_norm,Type
0,Primary Energy,2020,592.6325005695495,590.293832090171,36.344500456991774,637.097282496174,619.8,556.2880001125577,0.15400343751017265,0.4581539480235657,0.264435980293824,0.4973382732481908,0.4299609717103785,0.7637090683148917,0.8053102340988834,0.19468976590111664,0.0993197538715847,0.41826905743053777,0.28772142279676083,0.8053102340988834,0,556.2880001125577,0.0,7.219453679948241,30.4035598978594,20.914182764646394,14.15180457152951,0,0.8053102340988834,0.12333104642923154,0.519388727126469,0.3572802264442994,0.10907352142603732,0.4581539480235657,0.264435980293824,0.493085250802514,0.38606604483588314,0.7637090683148917,0.8005814549073322,0.19941854509266776,0.07474219722632719,0.4381039222645956,0.2877353354164094,0.8005814549073322,0,556.2880001125577,0.0,5.432935642497636,31.845336405910967,20.915194059068746,14.495534806506196,0,0.8005814549073322,0.09335989082457405,0.5472321642965192,0.3594079448789067,Fossil
1,Primary Energy,2030,652.1143841000413,660.993132427,107.14466212897989,778.820990031905,718.4688237928385,544.9697219710614,0.40176820808839175,0.26282077879466337,0.20535377518505227,0.5299776645834869,0.6660503013060428,0.4794493928135455,0.7941423205850265,0.20585767941497346,0.3601292806049266,0.19735511171181377,0.23665792826828616,0.7941423205850265,0,544.9697219710614,0.0,77.1718601863349,42.29109352757874,50.713267528899756,44.11310301514638,0,0.7941423205850265,0.45348204127898334,0.2485135303788202,0.2980044283421965,0.4091803553866402,0.26282077879466337,0.20535377518505227,0.5537674098100233,0.6589312467264709,0.4794493928135455,0.7959518433558417,0.20404815664415832,0.36598161906910853,0.20306090381665745,0.22690932047007567,0.7959518433558417,0,544.9697219710614,0.0,78.42595384115332,43.51378386208209,48.624244951365355,43.72534160335901,0,0.7959518433558417,0.4598037206950612,0.25511707210894186,0.2850792071959969,Fossil
2,Primary Energy,2040,713.0720972101448,716.093316455127,143.4059631486362,889.3817227028001,787.556742016357,569.6661340615085,0.5238120636068875,0.3116843933608602,0.16941234575644748,0.6870415555935063,0.7402843354659463,0.47738616867674266,0.8873335947212954,0.11266640527870464,0.46895802187417085,0.2314451033565554,0.18693046949056905,0.8873335947212952,0,569.6661340615085,0.0,134.50275360628936,66.38121592576496,53.613888038243616,32.314068726974455,0,0.8873335947212952,0.5285024985687227,0.26083212078682827,0.21066538064444915,0.4727376680647636,0.3116843933608602,0.16941234575644748,0.6874259828411364,0.6723138995855518,0.47738616867674266,0.8652426273771003,0.13475737262289966,0.4333052328066038,0.25531473000024757,0.1766226645702489,0.8652426273771003,0,569.6661340615085,0.0,124.27710849595012,73.227309523439,50.65748665315009,38.65002162473317,0,0.8652426273771003,0.5007904362272659,0.2950787697252152,0.20413079404751877,Fossil
3,Primary Energy,2050,768.8418600048536,766.2313,173.2459847397394,993.5362189066002,853.5731516705096,595.5958752651143,0.5319052337879294,0.41008534715795864,0.13741893695812346,0.7653957033970714,0.7068536821644913,0.53883338002225,0.91955773386917,0.08044226613083005,0.4583340461191966,0.3134139517330905,0.14780973601688288,0.91955773386917,0,595.5958752651143,0.0,158.8090663193387,108.59541739834485,51.214886540731605,27.87259922106368,0,0.91955773386917,0.498428787272215,0.3408311845895273,0.16074002813825772,0.4189352517962519,0.41008534715795864,0.13741893695812346,0.7464369106996259,0.5870578445180028,0.53883338002225,0.8857365961117137,0.11426340388828626,0.38627790114549626,0.3577407165784733,0.14171797838774414,0.8857365961117137,0,595.5958752651143,0.0,133.84219073430242,123.95428545027525,49.10414144221968,39.59135185268145,0,0.8857365961117137,0.43610922574636046,0.4038906353750265,0.16000013887861297,Fossil
4,Primary Energy,2060,811.5422648757369,792.744375,202.5420324943265,1072.1571635836,912.9717104277065,609.0002323814105,0.5408993315071915,0.4694062292519171,0.11355421940928967,0.8126597451946176,0.6819806675366787,0.5742753903394847,0.9341629663300403,0.06583703366995974,0.4522089631775973,0.3626097734513631,0.11934422970107993,0.9341629663300403,0,609.0002323814105,0.0,183.1826450282852,146.8874410342927,48.34444570025299,26.669533225822107,0,0.9341629663300403,0.4840793089391553,0.3881654342131701,0.12775525684767464,0.3777083959619282,0.4694062292519171,0.11355421940928967,0.7755071423609073,0.5207251708047334,0.5742753903394847,0.8897792349358098,0.11022076506419021,0.34994939093682337,0.42257341734919357,0.11725642664979286,0.8897792349358098,0,609.0002323814105,0.0,141.75892182099167,171.17775765595792,47.49870995334191,44.648675558361475,0,0.8897792349358098,0.39329912094663494,0.4749193965845682,0.1317814824687968,Fossil
5,Primary Energy,2070,845.7283004325485,817.1277,227.1815310811652,1128.2313217656001,965.92215625,618.5467693513833,0.5520093102938881,0.524661361144687,0.08915193920787545,0.8537495426384493,0.6589469685945584,0.6096183526405226,0.9466955774936919,0.05330442250630807,0.4461760468624267,0.4078377643108082,0.09268176632045702,0.9466955774936919,0,618.5467693513833,0.0,202.7259149158956,185.3064154576976,42.11117115197639,24.219560636760775,0,0.9466955774936919,0.4712983322935188,0.4308013832604238,0.0979002844460574,0.3448130431773724,0.524661361144687,0.08915193920787545,0.801491111125753,0.459610562705124,0.6096183526405226,0.8934990214943017,0.10650097850569828,0.31744596625676963,0.48237402020812614,0.09367903502940593,0.8934990214943017,0,618.5467693513833,0.0,144.23572129950566,219.17293692931804,42.564293216373095,48.3901107171336,0,0.8934990214943017,0.35528406704449217,0.5398707873248662,0.1048451456306417,Fossil
6,Primary Energy,2080,870.8170718265429,826.461,249.12166230291191,1179.0906587032,1020.457567099655,621.695409523631,0.5568081258671977,0.562283080360642,0.07581758752845769,0.873231200939346,0.6429079447991661,0.6383340174481518,0.9512074838649163,0.04879251613508373,0.4362336104028895,0.43668412397410444,0.07828974948792233,0.9512074838649163,0,621.695409523631,0.0,217.35048435193735,217.57494973143955,39.007345067419514,24.31054545502742,0,0.9512074838649163,0.45861036398746446,0.4590839868077817,0.08230564920475382,0.312079037136452,0.562283080360642,0.07581758752845769,0.8078341804326575,0.4125501533409641,0.6383340174481518,0.8909256880589191,0.10907431194108086,0.28527084689649346,0.5232648005621823,0.08239004060024341,0.8909256880589191,0,621.695409523631,0.0,142.13429517082787,260.7131938813051,41.05028774307408,54.345547810616836,0,0.8909256880589191,0.32019600592954034,0.5873270998642228,0.09247689420623681,Fossil
7,Primary Energy,2090,889.2749707085587,830.3228125,268.6589605986558,1212.8358432008001,1067.7433999999998,620.6160101099028,0.5445126024909073,0.5889746144953235,0.07166100073488979,0.8736021075231959,0.622303960288493,0.6662915638669149,0.9495132306392974,0.05048676936070262,0.41512316518467585,0.4593479729760949,0.07504209247852661,0.9495132306392975,0,620.6160101099028,0.0,223.05311615787824,246.8158979457142,40.32146113285833,27.12744596086086,0,0.9495132306392975,0.437195767040737,0.48377206146650603,0.07903217149275692,0.2851585366261439,0.5889746144953235,0.07166100073488979,0.8057194340489433,0.38043138500664964,0.6662915638669149,0.8900320159164673,0.1099679840835327,0.257218863529462,0.5520569918941844,0.08075616049282079,0.8900320159164672,0,620.6160101099028,0.0,138.20830504438553,296.63011526702434,43.39173227987894,59.08776860602284,0,0.8900320159164672,0.28899956285797584,0.6202664421298717,0.09073399501215253,Fossil
8,Primary Energy,2100,904.4709924117025,828.130717288,287.13314482099463,1268.2302678307742,1098.5055000000002,617.3378475907078,0.5194735814244062,0.6020890943951394,0.07618134874338023,0.8580199490290809,0.5994808480552731,0.6844633291186901,0.9376890146917873,0.06231098530821266,0.3874381479901402,0.4712371450072153,0.07901372169443185,0.9376890146917874,0,617.3378475907078,0.0,222.49266771206175,270.6156068047776,45.374916788266134,35.78309833688379,0,0.9376890146917874,0.41318405347586235,0.502551632389666,0.08426431413447151,0.25862560063240525,0.6020890943951394,0.07618134874338023,0.7916870647427082,0.35868096665953975,0.6844633291186901,0.8815722737812783,0.11842772621872166,0.23059444647561922,0.5652173745865614,0.08576045271909766,0.8815722737812783,0,617.3378475907078,0.0,132.42261718960214,324.585284545011,49.249336981013464,68.00905092636262,0,0.8815722737812783,0.2615717999915576,0.6411469500534611,0.0972812499549812,Fossil
0,Primary Energy Wind,2020,6.716731453095903,5.33603150505,4.803460118751251,14.063963885414342,7.42812015131,1.9132713343446524,0.04441455655128079,0.03950344738772804,0.6445468279343018,0.06334724051802709,0.6980763001770507,0.6692792249145122,0.7049426497382087,0.29505735026179125,0.039588204687167096,0.022734112474121472,0.6426203325769202,0.7049426497382087,0,1.9132713343446524,0.0,0.38032072477553697,0.21840480520929564,6.173602278063803,2.8345924294538665,0,0.7049426497382087,0.05615805016460386,0.03224959148458975,0.9115923583508064,0.06828286437274822,0.03950344738772804,0.6445468279343018,0.10863328977990827,0.717324973105333,0.6692792249145122,0.7397261308698913,0.26027386913010875,0.06989458803657767,0.03148200544865715,0.6383495373846564,0.7397261308698913,0,1.9132713343446524,0.0,0.6714717323004982,0.30244511526186835,6.132573089301015,2.5004303006391195,0,0.7397261308698913,0.09448711505484354,0.04255900141263828,0.8629538835325181,Non-fossil
