,Variable,Year,Average,Median,StDev,percentile_90,percentile_75,Avg-SD,R2_Amb,R2_Scen,R2_Mod,R2_Amb_Scen,R2_Amb_Mod,R2_Scen_Mod,R2_Amb_Scen_Mod,R2_Residual,R2_Amb_Shapley,R2_Scen_Shapley,R2_Mod_Shapley,R2_Amb_Scen_Mod_Shapley,Test_R2_Shapley_vs_R2,Plot_Avg_SD,Plot_Avg_SD_Surrogate,Plot_Amb,Plot_Scen,Plot_Mod,Plot_Resid,Avg_vs_Mid_point,R2_Amb_Scen_Mod_Shapleys_sum,R2_Amb_Shapley_norm,R2_Scen_Shapley_norm,R2_Mod_Shapley_norm,R2_Amb_rcp,R2_Scen_rcp,R2_Mod_rcp,R2_Amb_rcp_Scen,R2_Amb_rcp_Mod,R2_Scen_rcp_Mod,R2_Amb_rcp_Scen_Mod,R2_Residual_rcp,R2_Amb_Shapley_rcp,R2_Scen_Shapley_rcp,R2_Mod_Shapley_rcp,R2_Amb_rcp_Scen_Mod_Shapley,Test_R2_Shapley_vs_R2_rcp,Plot_Avg_SD_rcp,Plot_Avg_SD_Surrogate_rcp,Plot_Amb_rcp,Plot_Scen_rcp,Plot_Mod_rcp,Plot_Resid_rcp,Avg_vs_Mid_point_rcp,R2_Amb_rcp_Scen_Mod_Shapleys_sum,R2_Amb_Shapley_rcp_norm,R2_Scen_Shapley_rcp_norm,R2_Mod_Shapley_rcp_norm,Type
0,Primary Energy,2020,592.6325005695495,590.293832090171,36.344500456991774,637.097282496174,619.8,556.2880001125577,0.15400343751017231,0.4581539480235657,0.264435980293824,0.497338273248191,0.42996097171037795,0.7637090683148915,0.8053102340988834,0.19468976590111664,0.0993197538715846,0.41826905743053805,0.2877214227967607,0.8053102340988834,0,556.2880001125577,0.0,7.219453679948234,30.403559897859417,20.914182764646387,14.15180457152951,0,0.8053102340988834,0.12333104642923141,0.5193887271264693,0.3572802264442993,0.1090735214260371,0.4581539480235657,0.264435980293824,0.4930852508025141,0.38606604483588314,0.7637090683148915,0.8005814549073323,0.19941854509266765,0.07474219722632724,0.4381039222645957,0.2877353354164094,0.8005814549073323,0,556.2880001125577,0.0,5.43293564249764,31.845336405910974,20.915194059068746,14.495534806506189,0,0.8005814549073323,0.0933598908245741,0.5472321642965192,0.35940794487890665,Fossil
1,Primary Energy,2030,652.1143841000413,660.993132427,107.14466212897989,778.820990031905,718.4688237928385,544.9697219710614,0.401768208088392,0.2628207787946635,0.20535377518505205,0.5299776645834868,0.6660503013060428,0.47944939281354537,0.7941423205850267,0.20585767941497335,0.3601292806049268,0.1973551117118138,0.23665792826828608,0.7941423205850267,0,544.9697219710614,0.0,77.17186018633495,42.291093527578745,50.71326752889974,44.11310301514636,0,0.7941423205850267,0.4534820412789835,0.2485135303788202,0.2980044283421963,0.4091803553866402,0.2628207787946635,0.20535377518505205,0.5537674098100234,0.6589312467264709,0.47944939281354537,0.7959518433558417,0.20404815664415832,0.36598161906910864,0.2030609038166575,0.22690932047007556,0.7959518433558417,0,544.9697219710614,0.0,78.42595384115334,43.5137838620821,48.624244951365334,43.72534160335901,0,0.7959518433558417,0.4598037206950613,0.2551170721089419,0.2850792071959968,Fossil
2,Primary Energy,2040,713.0720972101448,716.093316455127,143.4059631486362,889.3817227028001,787.556742016357,569.6661340615085,0.5238120636068875,0.3116843933608602,0.1694123457564476,0.6870415555935063,0.7402843354659463,0.47738616867674255,0.8873335947212954,0.11266640527870464,0.4689580218741709,0.23144510335655538,0.18693046949056907,0.8873335947212955,0,569.6661340615085,0.0,134.50275360628936,66.38121592576496,53.61388803824362,32.314068726974455,0,0.8873335947212955,0.5285024985687226,0.26083212078682816,0.21066538064444915,0.4727376680647636,0.3116843933608602,0.1694123457564476,0.6874259828411364,0.6723138995855518,0.47738616867674255,0.8652426273771003,0.13475737262289966,0.4333052328066039,0.25531473000024757,0.17662266457024892,0.8652426273771003,0,569.6661340615085,0.0,124.27710849595013,73.227309523439,50.6574866531501,38.65002162473317,0,0.8652426273771003,0.500790436227266,0.2950787697252152,0.2041307940475188,Fossil
3,Primary Energy,2050,768.8418600048536,766.2313,173.2459847397394,993.5362189066002,853.5731516705096,595.5958752651143,0.5319052337879295,0.41008534715795864,0.13741893695812368,0.7653957033970714,0.7068536821644913,0.53883338002225,0.91955773386917,0.08044226613083005,0.4583340461191965,0.3134139517330905,0.14780973601688294,0.91955773386917,0,595.5958752651143,0.0,158.80906631933865,108.59541739834485,51.21488654073163,27.87259922106368,0,0.91955773386917,0.49842878727221485,0.3408311845895273,0.16074002813825777,0.4189352517962519,0.41008534715795864,0.13741893695812368,0.7464369106996259,0.5870578445180028,0.53883338002225,0.8857365961117137,0.11426340388828626,0.38627790114549626,0.3577407165784733,0.14171797838774422,0.8857365961117138,0,595.5958752651143,0.0,133.84219073430242,123.95428545027525,49.104141442219714,39.59135185268145,0,0.8857365961117138,0.4361092257463604,0.40389063537502645,0.16000013887861306,Fossil
4,Primary Energy,2060,811.5422648757369,792.744375,202.5420324943265,1072.1571635836,912.9717104277065,609.0002323814105,0.5408993315071916,0.4694062292519171,0.11355421940928989,0.8126597451946176,0.6819806675366787,0.5742753903394848,0.9341629663300404,0.06583703366995963,0.4522089631775973,0.362609773451363,0.11934422970108002,0.9341629663300404,0,609.0002323814105,0.0,183.1826450282852,146.88744103429266,48.34444570025303,26.66953322582206,0,0.9341629663300404,0.48407930893915524,0.38816543421317,0.12775525684767472,0.37770839596192807,0.4694062292519171,0.11355421940928989,0.7755071423609073,0.5207251708047334,0.5742753903394848,0.8897792349358099,0.1102207650641901,0.3499493909368233,0.42257341734919357,0.11725642664979298,0.8897792349358099,0,609.0002323814105,0.0,141.75892182099167,171.17775765595792,47.49870995334196,44.64867555836143,0,0.8897792349358099,0.39329912094663483,0.47491939658456817,0.13178148246879692,Fossil
5,Primary Energy,2070,845.7283004325485,817.1277,227.1815310811652,1128.2313217656001,965.92215625,618.5467693513833,0.5520093102938881,0.5246613611446871,0.08915193920787545,0.8537495426384493,0.6589469685945581,0.6096183526405226,0.9466955774936919,0.05330442250630807,0.4461760468624266,0.4078377643108083,0.09268176632045695,0.9466955774936919,0,618.5467693513833,0.0,202.72591491589557,185.30641545769765,42.11117115197636,24.219560636760775,0,0.9466955774936919,0.4712983322935187,0.4308013832604239,0.09790028444605733,0.3448130431773724,0.5246613611446871,0.08915193920787545,0.8014911111257529,0.4596105627051239,0.6096183526405226,0.8934990214943017,0.10650097850569828,0.3174459662567695,0.4823740202081262,0.09367903502940593,0.8934990214943016,0,618.5467693513833,0.0,144.2357212995056,219.17293692931804,42.564293216373095,48.3901107171336,0,0.8934990214943016,0.35528406704449206,0.5398707873248663,0.10484514563064172,Fossil
6,Primary Energy,2080,870.8170718265429,826.461,249.12166230291191,1179.0906587032,1020.457567099655,621.695409523631,0.5568081258671977,0.562283080360642,0.07581758752845746,0.8732312009393459,0.6429079447991661,0.6383340174481518,0.9512074838649163,0.04879251613508373,0.4362336104028895,0.43668412397410444,0.07828974948792229,0.9512074838649163,0,621.695409523631,0.0,217.35048435193735,217.57494973143955,39.00734506741949,24.31054545502742,0,0.9512074838649163,0.45861036398746446,0.4590839868077817,0.08230564920475378,0.312079037136452,0.562283080360642,0.07581758752845746,0.8078341804326575,0.41255015334096423,0.6383340174481518,0.8909256880589191,0.10907431194108086,0.2852708468964935,0.5232648005621823,0.08239004060024335,0.8909256880589191,0,621.695409523631,0.0,142.1342951708279,260.7131938813051,41.05028774307405,54.345547810616836,0,0.8909256880589191,0.3201960059295404,0.5873270998642228,0.09247689420623675,Fossil
7,Primary Energy,2090,889.2749707085587,830.3228125,268.6589605986558,1212.8358432008001,1067.7433999999998,620.6160101099028,0.5445126024909075,0.5889746144953235,0.07166100073488979,0.8736021075231959,0.6223039602884931,0.6662915638669147,0.9495132306392974,0.05048676936070262,0.415123165184676,0.4593479729760948,0.07504209247852656,0.9495132306392974,0,620.6160101099028,0.0,223.05311615787832,246.81589794571414,40.3214611328583,27.12744596086086,0,0.9495132306392974,0.4371957670407372,0.4837720614665059,0.07903217149275688,0.2851585366261439,0.5889746144953235,0.07166100073488979,0.8057194340489433,0.38043138500664975,0.6662915638669147,0.8900320159164673,0.1099679840835327,0.2572188635294621,0.5520569918941844,0.08075616049282076,0.8900320159164673,0,620.6160101099028,0.0,138.20830504438558,296.63011526702434,43.39173227987892,59.08776860602284,0,0.8900320159164673,0.2889995628579759,0.6202664421298716,0.09073399501215249,Fossil
8,Primary Energy,2100,904.4709924117025,828.130717288,287.13314482099463,1268.2302678307742,1098.5055000000002,617.3378475907078,0.5194735814244062,0.6020890943951394,0.07618134874338023,0.8580199490290809,0.5994808480552729,0.6844633291186901,0.9376890146917873,0.06231098530821266,0.3874381479901402,0.47123714500721536,0.0790137216944318,0.9376890146917873,0,617.3378475907078,0.0,222.49266771206175,270.61560680477766,45.3749167882661,35.78309833688379,0,0.9376890146917873,0.4131840534758624,0.5025516323896662,0.08426431413447147,0.25862560063240525,0.6020890943951394,0.07618134874338023,0.7916870647427082,0.35868096665953975,0.6844633291186901,0.8815722737812783,0.11842772621872166,0.23059444647561922,0.5652173745865614,0.08576045271909766,0.8815722737812783,0,617.3378475907078,0.0,132.42261718960214,324.585284545011,49.249336981013464,68.00905092636262,0,0.8815722737812783,0.2615717999915576,0.6411469500534611,0.0972812499549812,Fossil
0,Primary Energy Wind,2020,6.716731453095903,5.33603150505,4.803460118751251,14.063963885414342,7.42812015131,1.9132713343446524,0.04441455655128079,0.03950344738772804,0.6445468279343018,0.06334724051802698,0.6980763001770507,0.6692792249145123,0.7049426497382086,0.29505735026179136,0.039588204687167006,0.022734112474121437,0.6426203325769202,0.7049426497382086,0,1.9132713343446524,0.0,0.3803207247755361,0.2184048052092953,6.173602278063803,2.8345924294538674,0,0.7049426497382086,0.05615805016460374,0.03224959148458971,0.9115923583508065,0.068282864372748,0.03950344738772804,0.6445468279343018,0.10863328977990827,0.717324973105333,0.6692792249145123,0.7397261308698911,0.26027386913010886,0.06989458803657753,0.03148200544865716,0.6383495373846565,0.7397261308698911,0,1.9132713343446524,0.0,0.6714717323004968,0.3024451152618685,6.132573089301016,2.5004303006391204,0,0.7397261308698911,0.09448711505484336,0.0425590014126383,0.8629538835325183,Non-fossil
